fold_id,fold_index,test_cbsa_a,test_cbsa_b,method,cbsa_code,target,n_samples,y_true_mean,y_pred_mean,pred_bias_mean,mae,rmse,r2
test_14460_33100,15,14460,33100,train_global_mean,14460,Car_share,1115,0.7720657517114665,0.8552933096819152,0.0832275579704488,0.1657713393131301,0.2424021029641462,-0.1336400808640205
test_14460_33100,15,14460,33100,train_global_mean,14460,Transit_share,1115,0.1220790640614959,0.0824604178340087,-0.0396186462274871,0.0986949038144396,0.1383358704988145,-0.089350566901557
test_14460_33100,15,14460,33100,train_global_mean,14460,NonTransit_share,1115,0.1058551842270376,0.0622462724840758,-0.0436089117429617,0.0826171726387714,0.1505971236650385,-0.0915275518748639
test_14460_33100,15,14460,33100,train_global_mean,14460,avg,1115,,,,0.1156944719221137,0.1771116990426664,-0.1048393998801471
test_14460_33100,15,14460,33100,train_global_mean,33100,Car_share,1477,0.9161203189025324,0.8552933096819152,-0.060827009220617,0.0932626911270866,0.1095315171165557,-0.4459230197719139
test_14460_33100,15,14460,33100,train_global_mean,33100,Transit_share,1477,0.0289907135589175,0.0824604178340087,0.0534697042750911,0.0639194846848954,0.0699299549179506,-1.4075543070912535
test_14460_33100,15,14460,33100,train_global_mean,33100,NonTransit_share,1477,0.0548889675385499,0.0622462724840758,0.0073573049455258,0.0470928177995908,0.0721679434202404,-0.010502342567696
test_14460_33100,15,14460,33100,train_global_mean,33100,avg,1477,,,,0.068091664537191,0.0838764718182489,-0.6213265564769545
test_14460_35620,16,14460,35620,nearest_train_city_mean,14460,Car_share,1115,0.7720657517114665,0.8069492381609379,0.0348834864494713,0.1541277951194057,0.2144982526469546,0.1123332689030753
test_14460_35620,16,14460,35620,nearest_train_city_mean,14460,Transit_share,1115,0.1220790640614959,0.1096777642844002,-0.0124012997770956,0.0934122059755343,0.1243051862674191,0.1204175680987261
test_14460_35620,16,14460,35620,nearest_train_city_mean,14460,NonTransit_share,1115,0.1058551842270376,0.0833729975546618,-0.0224821866723757,0.0815989642362914,0.1408003035926766,0.0458678482557163
test_14460_35620,16,14460,35620,nearest_train_city_mean,14460,avg,1115,,,,0.1097129884437438,0.1598679141690167,0.0928728950858392
test_14460_35620,16,14460,35620,nearest_train_city_mean,35620,Car_share,885,0.5502563812813035,0.8201938160340642,0.2699374347527606,0.3375688245235842,0.4327655879356455,-0.8981582591821973
