GEOID,cbsa_code,cbsa_title,county_fips,NAME,total_commuters,Car_count,Transit_count,NonTransit_count,ExcludedWFH_count,class3_denominator,tripmode_denominator,share_sum,Car_share,Transit_share,NonTransit_share,label_schema,label_version,wfh_policy
13035150202,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13035,Census Tract 1502.02; Butts County; Georgia,1366.0,1208.0,0.0,15.0,143.0,1223.0,1223.0,1.0,0.9877350776778414,0.0,0.012264922322158627,commute_tripmode3_contract,v2.0,excluded
13035150300,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13035,Census Tract 1503; Butts County; Georgia,2628.0,2425.0,33.0,25.0,145.0,2483.0,2483.0,1.0,0.9766411598872332,0.013290374546919049,0.010068465565847765,commute_tripmode3_contract,v2.0,excluded
13045910101,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9101.01; Carroll County; Georgia,3419.0,2902.0,88.0,130.0,299.0,3120.0,3120.0,1.0,0.9301282051282052,0.028205128205128206,0.041666666666666664,commute_tripmode3_contract,v2.0,excluded
13045910103,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9101.03; Carroll County; Georgia,2656.0,2362.0,0.0,63.0,231.0,2425.0,2425.0,1.0,0.9740206185567011,0.0,0.02597938144329897,commute_tripmode3_contract,v2.0,excluded
13045910105,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9101.05; Carroll County; Georgia,2072.0,1783.0,0.0,80.0,209.0,1863.0,1863.0,1.0,0.9570585077831455,0.0,0.04294149221685454,commute_tripmode3_contract,v2.0,excluded
13045910106,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9101.06; Carroll County; Georgia,2227.0,1812.0,0.0,0.0,415.0,1812.0,1812.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910201,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9102.01; Carroll County; Georgia,1944.0,1752.0,0.0,0.0,192.0,1752.0,1752.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910202,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9102.02; Carroll County; Georgia,3188.0,2665.0,0.0,0.0,523.0,2665.0,2665.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910203,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9102.03; Carroll County; Georgia,2231.0,2112.0,0.0,22.0,97.0,2134.0,2134.0,1.0,0.9896907216494846,0.0,0.010309278350515464,commute_tripmode3_contract,v2.0,excluded
13045910301,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9103.01; Carroll County; Georgia,1377.0,1252.0,0.0,35.0,90.0,1287.0,1287.0,1.0,0.9728049728049728,0.0,0.027195027195027196,commute_tripmode3_contract,v2.0,excluded
13045910302,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9103.02; Carroll County; Georgia,1683.0,1512.0,10.0,5.0,156.0,1527.0,1527.0,1.0,0.9901768172888016,0.006548788474132285,0.0032743942370661427,commute_tripmode3_contract,v2.0,excluded
13045910400,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9104; Carroll County; Georgia,1614.0,1453.0,0.0,54.0,107.0,1507.0,1507.0,1.0,0.9641672196416722,0.0,0.035832780358327807,commute_tripmode3_contract,v2.0,excluded
13045910502,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9105.02; Carroll County; Georgia,1324.0,1199.0,8.0,82.0,35.0,1289.0,1289.0,1.0,0.930178432893716,0.0062063615205585725,0.06361520558572537,commute_tripmode3_contract,v2.0,excluded
13045910503,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9105.03; Carroll County; Georgia,1891.0,1731.0,68.0,26.0,66.0,1825.0,1825.0,1.0,0.9484931506849315,0.03726027397260274,0.014246575342465753,commute_tripmode3_contract,v2.0,excluded
13045910504,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9105.04; Carroll County; Georgia,2466.0,1694.0,8.0,506.0,258.0,2208.0,2208.0,1.0,0.7672101449275363,0.0036231884057971015,0.22916666666666666,commute_tripmode3_contract,v2.0,excluded
13045910600,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9106; Carroll County; Georgia,3260.0,2888.0,0.0,150.0,222.0,3038.0,3038.0,1.0,0.9506254114549045,0.0,0.04937458854509546,commute_tripmode3_contract,v2.0,excluded
13045910704,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.04; Carroll County; Georgia,1507.0,1369.0,0.0,0.0,138.0,1369.0,1369.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910705,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.05; Carroll County; Georgia,2303.0,2188.0,0.0,0.0,115.0,2188.0,2188.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910706,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.06; Carroll County; Georgia,2512.0,2128.0,18.0,0.0,366.0,2146.0,2146.0,1.0,0.9916123019571296,0.008387698042870456,0.0,commute_tripmode3_contract,v2.0,excluded
13045910707,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.07; Carroll County; Georgia,1952.0,1858.0,0.0,14.0,80.0,1872.0,1872.0,1.0,0.9925213675213675,0.0,0.007478632478632479,commute_tripmode3_contract,v2.0,excluded
13045910708,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.08; Carroll County; Georgia,1628.0,1296.0,0.0,0.0,332.0,1296.0,1296.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045910709,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9107.09; Carroll County; Georgia,2149.0,1950.0,0.0,121.0,78.0,2071.0,2071.0,1.0,0.9415741187831965,0.0,0.05842588121680348,commute_tripmode3_contract,v2.0,excluded
13045910800,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9108; Carroll County; Georgia,1833.0,1598.0,0.0,63.0,172.0,1661.0,1661.0,1.0,0.9620710415412402,0.0,0.037928958458759786,commute_tripmode3_contract,v2.0,excluded
13045910900,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9109; Carroll County; Georgia,1816.0,1589.0,26.0,19.0,182.0,1634.0,1634.0,1.0,0.9724602203182374,0.01591187270501836,0.011627906976744186,commute_tripmode3_contract,v2.0,excluded
13045911001,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9110.01; Carroll County; Georgia,1494.0,1357.0,0.0,0.0,137.0,1357.0,1357.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13045911002,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9110.02; Carroll County; Georgia,1791.0,1476.0,0.0,24.0,291.0,1500.0,1500.0,1.0,0.984,0.0,0.016,commute_tripmode3_contract,v2.0,excluded
13045911101,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9111.01; Carroll County; Georgia,2394.0,2070.0,7.0,157.0,160.0,2234.0,2234.0,1.0,0.9265890778871978,0.003133393017009848,0.0702775290957923,commute_tripmode3_contract,v2.0,excluded
13045911102,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9111.02; Carroll County; Georgia,1157.0,1018.0,0.0,41.0,98.0,1059.0,1059.0,1.0,0.9612842304060434,0.0,0.03871576959395656,commute_tripmode3_contract,v2.0,excluded
